Id,Id2,Geography,HC01_VC03,HC02_VC03,HC03_VC03,HC04_VC03,HC01_VC77,HC02_VC77,HC03_VC77,HC04_VC77,HC01_VC78,HC02_VC78,HC03_VC78,HC04_VC78
1400000US09001050500,09001050500,"Census Tract 505, Fairfield County, Connecticut",4673,278,4673,,4673,278,4673,,4346,293,93.0,3.6
1400000US09001050600,09001050600,"Census Tract 506, Fairfield County, Connecticut",3228,262,3228,,3228,262,3228,,3030,259,93.9,3.1
1400000US09001055100,09001055100,"Census Tract 551, Fairfield County, Connecticut",5793,272,5793,,5793,272,5793,,5477,322,94.5,2.7
1400000US09001055200,09001055200,"Census Tract 552, Fairfield County, Connecticut",4468,274,4468,,4468,274,4468,,4348,280,97.3,1.6
1400000US09001060100,09001060100,"Census Tract 601, Fairfield County, Connecticut",4219,473,4219,,4219,473,4219,,3820,441,90.5,3.0
1400000US09001060200,09001060200,"Census Tract 602, Fairfield County, Connecticut",4298,291,4298,,4298,291,4298,,4136,265,96.2,2.1
1400000US09001060300,09001060300,"Census Tract 603, Fairfield County, Connecticut",3874,281,3874,,3874,281,3874,,3602,311,93.0,3.5
1400000US09001060400,09001060400,"Census Tract 604, Fairfield County, Connecticut",4708,291,4708,,4708,291,4708,,4520,293,96.0,2.5
1400000US09001060500,09001060500,"Census Tract 605, Fairfield County, Connecticut",3001,176,3001,,3001,176,3001,,2917,179,97.2,1.9
1400000US09001060600,09001060600,"Census Tract 606, Fairfield County, Connecticut",2293,178,2293,,2293,178,2293,,2194,174,95.7,4.1
1400000US09001060700,09001060700,"Census Tract 607, Fairfield County, Connecticut",7979,411,7979,,7979,411,7979,,7394,427,92.7,1.8
1400000US09001060800,09001060800,"Census Tract 608, Fairfield County, Connecticut",2019,160,2019,,2019,160,2019,,1961,158,97.1,2.7
1400000US09001060900,09001060900,"Census Tract 609, Fairfield County, Connecticut",2583,142,2583,,2583,142,2583,,2495,166,96.6,2.7
1400000US09001061000,09001061000,"Census Tract 610, Fairfield County, Connecticut",3669,218,3669,,3669,218,3669,,3128,260,85.3,7.9
1400000US09001061100,09001061100,"Census Tract 611, Fairfield County, Connecticut",3525,249,3525,,3525,249,3525,,3243,339,92.0,4.9
1400000US09001061200,09001061200,"Census Tract 612, Fairfield County, Connecticut",2118,184,2118,,2118,184,2118,,1696,222,80.1,7.9
1400000US09001061300,09001061300,"Census Tract 613, Fairfield County, Connecticut",3195,275,3195,,3195,275,3195,,2699,352,84.5,6.9
1400000US09001061400,09001061400,"Census Tract 614, Fairfield County, Connecticut",2812,211,2812,,2812,211,2812,,1888,258,67.1,9.0
1400000US09001061500,09001061500,"Census Tract 615, Fairfield County, Connecticut",4623,282,4623,,4623,282,4623,,4413,286,95.5,3.3
1400000US09001061600,09001061600,"Census Tract 616, Fairfield County, Connecticut",5210,439,5210,,5210,439,5210,,5060,415,97.1,2.2
1400000US09001070100,09001070100,"Census Tract 701, Fairfield County, Connecticut",4795,515,4795,,4795,515,4795,,3964,454,82.7,7.0
1400000US09001070200,09001070200,"Census Tract 702, Fairfield County, Connecticut",4073,592,4073,,4073,592,4073,,1334,356,32.8,9.8
1400000US09001070300,09001070300,"Census Tract 703, Fairfield County, Connecticut",1267,184,1267,,1267,184,1267,,363,218,28.7,16.8
