area,size
3157,40.678043
3178,42.108974
3169,2.117987
3375,10.908691
2731,8.789064
3146,2.076019
3158,18.3479
3159,6.720431
3174,7.034021
2739,2.963325
3119,10.440479
3122,5.043252
3153,8.174629
3164,18.83292
3156,20.40312
3160,4.185225
3147,2.410099
3185,12.930149
3162,17.836679
3165,15.761399
3182,2.182215
3163,2.990681
3145,8.577518
3151,12.088197
3177,2.086279
3152,2.678256
3172,23.862255
3144,2.366842
3166,2.597485
3155,10.649525
3167,2.931803
3168,2.671873
3180,0.1459
3175,20.937033
2114,1.486845
2123,0.922632
2113,0.703249
2112,0.220351
2115,0.69458
2119,0.826557
2096,1.342442
1009,0.196601
2097,0.573194
2095,0.812777
903,0.551513
2169,0.32046
901,0.100066
902,0.194815
900,0.169347
904,0.412842
1011,0.275568
1018,0.0614
2098,0.252732
2099,0.13354
2101,0.238097
1006,0.265705
1007,0.201954
1005,0.15129
1004,0.150131
1017,0.061364
1020,0.060984
1019,0.064974
898,0.123572
895,0.04997
899,0.230601
1002,0.055484
1016,0.134885
1014,0.069172
893,0.158857
1022,2.570783
2172,0.294417
2173,0.183304
2174,0.485051
1013,0.112077
1012,0.127468
1003,0.192837
1024,1.186054
884,0.087238
880,0.096189
890,0.052117
889,0.108261
1015,0.217806
1801,2.200963
1811,9.915554
1812,6.073481
1813,2.272682
1809,14.419348
1808,1.609108
1805,0.93116
1804,0.946566
1814,8.404883
1862,3.715796
1815,2.685225
1817,1.696446
1861,9.332501
1863,1.751958
3211,0.841905
3363,27.336592
3357,5.922259
3362,17.558044
3343,1.323061
3577,58.05764
3340,21.712006
3322,28.603418
3195,32.579037
3581,16.373131
3578,22.114618
3331,1.133524
3321,36.482086
3337,0.544918
3330,35.371601
3324,22.831314
3335,37.813622
3325,1.279874
3315,27.514324
3334,1.150192
3329,23.681919
3316,20.806837
3339,18.960308
3356,29.884027
3333,31.636593
3327,1.533631
3584,25.976299
3319,1.372116
3320,30.0826
3317,0.907123
3326,1.560135
3348,3.698578
3181,44.770874
3361,1.954425
3360,13.306121
3347,10.543737
3350,23.781557
3345,23.958963
3355,7.068563
3359,3.220844
3342,1.712988
3574,39.394672
3583,20.441168
3231,0.605026
3582,7.647771
3573,15.317659
3579,0.960127
3575,1.234793
3580,1.837551
3193,2.478848
3192,54.604408
3200,2.35917
3198,2.033051
3187,20.233162
3183,26.461823
3194,0.748935
3336,47.628223
3199,0.673375
3189,4.853884
