Id,Id2,Geography,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01
1400000US09001021700,09001021700,"Census Tract 217, Fairfield County, Connecticut",6620,619,948,456,14.3,6.4
1400000US09001021801,09001021801,"Census Tract 218.01, Fairfield County, Connecticut",4550,567,515,430,11.3,8.6
1400000US09001021802,09001021802,"Census Tract 218.02, Fairfield County, Connecticut",4776,502,565,356,11.8,7.1
1400000US09001021900,09001021900,"Census Tract 219, Fairfield County, Connecticut",6080,637,1083,415,17.8,7.1
1400000US09001022000,09001022000,"Census Tract 220, Fairfield County, Connecticut",2665,325,249,151,9.3,5.6
1400000US09001022100,09001022100,"Census Tract 221, Fairfield County, Connecticut",8096,878,926,413,11.4,5.2
1400000US09001022200,09001022200,"Census Tract 222, Fairfield County, Connecticut",4232,570,988,269,23.3,6.0
1400000US09001022300,09001022300,"Census Tract 223, Fairfield County, Connecticut",6293,805,1196,644,19.0,9.1
1400000US09001022400,09001022400,"Census Tract 224, Fairfield County, Connecticut",2212,126,16,20,0.7,0.9
1400000US09001030100,09001030100,"Census Tract 301, Fairfield County, Connecticut",3597,229,90,85,2.5,2.3
1400000US09001030200,09001030200,"Census Tract 302, Fairfield County, Connecticut",3740,272,381,285,10.2,7.2
1400000US09001030300,09001030300,"Census Tract 303, Fairfield County, Connecticut",4212,297,448,372,10.6,8.7
1400000US09001030400,09001030400,"Census Tract 304, Fairfield County, Connecticut",4049,252,218,219,5.4,5.4
1400000US09001030500,09001030500,"Census Tract 305, Fairfield County, Connecticut",5255,283,249,192,4.7,3.7
1400000US09001035100,09001035100,"Census Tract 351, Fairfield County, Connecticut",7789,395,269,143,3.5,1.9
1400000US09001035200,09001035200,"Census Tract 352, Fairfield County, Connecticut",3145,317,41,42,1.3,1.3
1400000US09001035300,09001035300,"Census Tract 353, Fairfield County, Connecticut",3764,228,64,57,1.7,1.5
1400000US09001035400,09001035400,"Census Tract 354, Fairfield County, Connecticut",5147,270,91,87,1.8,1.7
1400000US09001042500,09001042500,"Census Tract 425, Fairfield County, Connecticut",4187,251,49,38,1.2,0.9
1400000US09001042600,09001042600,"Census Tract 426, Fairfield County, Connecticut",4311,309,220,121,5.1,2.9
