distance,State,County,rdName,rdNumber,rdDirection,tmc,dYear,dMonth,dWeekday,HR24_passVeh,HR24_allVeh,HR24_freight,HR1_passVeh,HR1_allVeh,HR1_freight,HR2_passVeh,HR2_allVeh,HR2_freight,HR3_passVeh,HR3_allVeh,HR3_freight,HR4_passVeh,HR4_allVeh,HR4_freight,HR5_passVeh,HR5_allVeh,HR5_freight,HR6_passVeh,HR6_allVeh,HR6_freight,HR7_passVeh,HR7_allVeh,HR7_freight,HR8_passVeh,HR8_allVeh,HR8_freight,HR9_passVeh,HR9_allVeh,HR9_freight,HR10_passVeh,HR10_allVeh,HR10_freight,HR11_passVeh,HR11_allVeh,HR11_freight,HR12_passVeh,HR12_allVeh,HR12_freight,HR13_passVeh,HR13_allVeh,HR13_freight,HR14_passVeh,HR14_allVeh,HR14_freight,HR15_passVeh,HR15_allVeh,HR15_freight,HR16_passVeh,HR16_allVeh,HR16_freight,HR17_passVeh,HR17_allVeh,HR17_freight,HR18_passVeh,HR18_allVeh,HR18_freight,HR19_passVeh,HR19_allVeh,HR19_freight,HR20_passVeh,HR20_allVeh,HR20_freight,HR21_passVeh,HR21_allVeh,HR21_freight,HR22_passVeh,HR22_allVeh,HR22_freight,HR23_passVeh,HR23_allVeh,HR23_freight
0.160711,NJ,MORRIS,NJ-23,23,SOUTHBOUND,120-07464,2019,01,Tuesday,41,41,NULL,43,41,39,40,40,30,48,45,35,50,50,43,49,48,37,41,41,37,39,39,26,36,36,31,37,37,27,36,36,31,34,34,31,34,33,29,34,34,32,35,35,25,36,37,32,38,38,31,40,39,36,40,39,28,38,38,41,39,39,NULL,43,42,27,45,43,34,47,47,NULL
0.36175,NJ,MORRIS,NJ-23,23,SOUTHBOUND,120-07463,2019,01,Tuesday,45,45,NULL,52,48,44,43,43,37,48,46,43,50,50,52,51,50,40,49,48,39,44,43,36,44,44,37,40,39,34,36,36,34,34,34,32,33,33,33,34,34,27,33,32,27,40,39,38,42,42,39,41,40,33,37,36,33,42,42,43,38,38,NULL,45,44,12,45,45,40,50,50,NULL
0.892705,NJ,MORRIS,NJ-23,23,SOUTHBOUND,120-07462,2019,01,Tuesday,46,46,NULL,48,46,45,43,42,38,43,44,44,46,44,39,45,45,44,43,42,40,35,35,38,39,39,39,42,42,36,39,39,39,39,38,37,40,40,37,43,42,29,40,40,41,44,43,37,46,46,40,46,45,44,43,41,32,46,45,40,42,42,NULL,40,40,30,40,40,39,40,39,42
0.445243,NJ,MORRIS,I-80,80,WESTBOUND,120P04327,2019,01,Tuesday,69,65,65,67,66,65,66,65,65,67,66,66,67,66,65,67,66,66,67,67,66,69,67,64,69,67,66,69,67,66,68,67,65,69,67,65,70,68,65,70,68,66,69,68,65,71,68,65,69,67,64,64,63,60,65,64,61,69,66,64,68,66,63,67,66,66,69,66,64,68,67,66
0.320938,NJ,MORRIS,I-80,80,WESTBOUND,120P04326,2019,01,Tuesday,68,66,65,65,67,66,66,66,65,62,64,66,66,65,65,65,66,66,66,66,66,67,65,64,66,66,64,67,65,64,66,65,65,66,65,64,67,66,64,67,66,65,67,66,64,67,66,64,66,64,61,62,60,57,60,60,60,65,63,62,67,65,64,65,64,64,68,65,63,65,63,63
0.706996,NJ,MORRIS,NJ-23,23,SOUTHBOUND,120-07461,2019,01,Tuesday,50,50,NULL,54,50,47,46,45,25,45,42,37,46,45,44,45,45,45,48,48,45,44,44,41,45,45,42,47,47,40,45,45,45,43,43,40,41,41,42,46,46,48,46,46,44,46,45,39,46,46,37,47,47,44,47,45,33,48,48,40,47,47,NULL,47,47,27,46,46,37,47,47,40
0.537647,NJ,MORRIS,I-80,80,WESTBOUND,120P04325,2019,01,Tuesday,68,65,64,62,63,63,63,62,60,61,60,61,65,61,60,63,63,63,63,62,62,64,63,62,63,62,60,62,62,62,62,62,62,63,63,62,64,63,61,63,62,61,63,63,61,64,63,59,60,60,58,57,57,54,57,57,55,61,60,59,63,61,59,63,63,62,65,63,60,63,63,62
0.683402,NJ,MORRIS,NJ-23,23,SOUTHBOUND,120-07460,2019,01,Tuesday,54,54,NULL,52,50,49,48,48,31,48,47,46,52,51,38,48,48,49,47,47,38,40,40,35,45,45,41,44,44,43,48,48,45,46,46,43,44,44,42,46,46,50,46,46,34,40,40,35,42,42,34,40,40,40,41,41,40,47,46,42,50,50,NULL,53,53,NULL,50,49,41,46,46,40
0.491132,NJ,MORRIS,I-80,80,WESTBOUND,120P04324,2019,01,Tuesday,63,59,58,62,60,59,62,59,54,61,59,56,61,59,59,60,59,59,61,59,58,63,61,58,64,62,58,62,60,58,62,60,59,62,61,59,64,61,57,60,58,58,62,60,56,62,59,55,55,53,49,54,53,48,56,55,49,61,58,54,63,61,57,63,60,57,64,60,58,62,59,58
0.403655,NJ,MORRIS,I-80,80,WESTBOUND,120P04323,2019,01,Tuesday,68,66,65,65,65,65,66,65,64,65,64,64,67,64,63,66,65,63,65,64,63,66,65,64,67,66,64,66,65,64,66,65,64,66,65,63,68,66,63,67,66,64,66,65,62,64,62,60,59,58,56,58,57,52,59,57,53,64,62,60,66,64,62,65,65,64,67,65,62,66,65,66
0.016914,NJ,MORRIS,I-80,80,WESTBOUND,120P04322,2019,01,Tuesday,64,63,63,66,65,63,65,64,60,65,62,59,66,63,61,64,63,63,64,63,63,65,63,61,66,65,62,65,64,62,65,63,61,65,63,61,66,64,62,65,64,61,66,65,61,64,61,57,51,50,45,52,51,45,59,57,50,63,60,56,63,61,59,66,64,63,66,63,60,67,64,62
0.769096,NJ,MORRIS,I-80,80,WESTBOUND,120P04321,2019,01,Tuesday,67,65,62,67,65,62,66,65,61,66,64,62,65,64,62,64,63,62,64,63,63,65,64,62,68,66,63,66,64,62,65,65,63,64,64,62,66,65,62,65,64,61,66,65,62,64,63,58,51,50,45,51,51,47,59,57,52,57,55,52,59,57,55,65,64,62,67,65,63,66,64,64
0.531589,NJ,MORRIS,I-80,80,WESTBOUND,120P04320,2019,01,Tuesday,69,67,65,67,65,64,67,65,63,65,65,63,64,64,64,64,63,61,66,64,63,65,64,62,67,66,64,66,65,63,65,65,64,65,64,63,65,65,63,65,65,63,65,65,62,62,61,58,52,51,49,50,49,45,59,58,52,64,62,59,66,64,60,67,65,62,67,65,61,68,64,62
0.507467,NY,ORANGE,NY-17,17,SOUTHBOUND,120-06139,2019,01,Tuesday,26,26,NULL,34,31,11,20,16,7,NULL,27,27,32,32,32,25,24,18,28,27,19,29,29,NULL,30,28,25,28,27,18,29,28,21,33,28,14,32,28,17,28,27,15,34,32,27,34,33,24,29,29,25,29,29,18,29,29,NULL,32,32,NULL,33,33,NULL,25,23,5,36,34,20,40,40,NULL
0.091453,NJ,MIDDLESEX,"PFEIFFER BLVD/W POND RD/KING GEORGES RD",184,EASTBOUND,120-07468,2019,01,Tuesday,33,33,NULL,35,36,38,26,35,38,27,28,29,29,29,NULL,27,27,27,25,25,16,26,26,25,26,26,24,24,24,19,21,20,17,20,20,22,20,20,19,20,19,18,19,18,23,21,21,20,20,19,19,18,17,6,21,22,21,23,22,16,25,24,17,23,23,NULL,26,26,NULL,34,34,NULL
0.188033,NJ,ESSEX,"PASSAIC AVE",613,SOUTHBOUND,120-20420,2019,01,Tuesday,18,18,NULL,30,30,NULL,45,45,NULL,NULL,NULL,NULL,39,39,NULL,32,31,21,24,22,9,18,18,5,13,13,NULL,22,22,11,26,26,NULL,25,25,NULL,28,28,25,24,24,32,21,21,NULL,25,25,NULL,20,20,NULL,24,24,NULL,21,21,NULL,26,26,21,27,27,12,33,33,NULL,16,16,NULL,40,40,NULL
0.153553,CT,"NEW HAVEN",I-91,91,NORTHBOUND,120P05607,2019,01,Tuesday,58,58,58,59,57,56,59,57,56,59,59,58,58,58,58,58,58,56,56,55,54,55,55,55,56,55,55,56,55,55,58,56,54,58,57,55,58,57,55,58,57,55,58,57,54,56,56,54,53,53,50,47,46,45,55,55,54,58,57,55,59,57,55,58,57,57,58,57,57,58,58,58
0.750542,NJ,MIDDLESEX,"PFEIFFER BLVD/W POND RD/KING GEORGES RD",184,EASTBOUND,120-07467,2019,01,Tuesday,36,35,26,35,36,38,37,36,37,37,37,38,34,36,42,36,34,31,31,31,NULL,30,30,22,28,28,29,28,28,NULL,35,33,24,27,27,25,28,27,21,27,26,25,25,25,24,25,24,20,25,25,22,24,24,18,24,25,34,27,27,NULL,31,31,30,32,32,NULL,37,37,38,32,32,NULL
1.031501,NY,KINGS,"CONEY ISLAND AVE",0,SOUTHBOUND,120-18112,2019,01,Tuesday,21,21,NULL,19,19,NULL,22,22,NULL,17,17,21,18,18,NULL,18,18,NULL,16,16,12,14,14,12,13,13,11,14,14,10,13,13,10,11,11,9,12,12,9,10,10,9,10,10,NULL,15,15,NULL,15,15,NULL,15,15,10,17,16,16,15,15,NULL,16,16,NULL,14,14,NULL,17,17,NULL,18,18,NULL
0.271576,CT,"NEW HAVEN",I-91,91,NORTHBOUND,120P05608,2019,01,Tuesday,59,59,59,60,58,58,62,59,58,61,60,60,59,59,60,60,59,58,57,57,57,56,57,57,58,57,57,57,56,58,59,58,57,60,58,57,60,58,57,60,59,57,59,58,55,58,57,56,54,53,52,45,45,46,56,56,54,58,58,56,61,59,57,60,59,58,58,59,59,60,59,60
0.377968,CT,"NEW HAVEN",I-91,91,NORTHBOUND,120P05609,2019,01,Tuesday,61,60,59,61,59,58,62,59,58,60,60,59,59,59,59,60,59,59,59,58,57,60,59,57,60,58,57,59,57,58,60,59,58,61,60,58,62,60,57,61,60,58,61,59,57,59,58,56,55,54,52,50,49,48,58,56,54,59,58,57,60,59,57,60,59,58,61,60,59,62,60,59
0.185597,NY,KINGS,"CONEY ISLAND AVE",0,SOUTHBOUND,120-18111,2019,01,Tuesday,15,15,NULL,17,17,NULL,20,20,NULL,15,17,25,16,16,NULL,19,19,NULL,20,20,14,14,14,NULL,12,12,NULL,14,14,6,13,12,12,11,11,10,11,11,5,10,10,9,10,10,NULL,14,14,NULL,13,13,NULL,13,13,11,14,14,13,15,15,NULL,12,12,NULL,15,15,NULL,16,16,NULL,17,17,NULL
0.687137,NY,KINGS,"CONEY ISLAND AVE",0,SOUTHBOUND,120-18114,2019,01,Tuesday,15,15,NULL,18,18,NULL,19,19,NULL,16,16,17,21,21,NULL,14,14,NULL,13,13,15,13,12,9,13,13,11,13,13,12,10,10,12,9,9,8,9,9,13,10,10,9,10,10,4,15,15,NULL,13,13,NULL,13,13,10,13,13,15,14,14,NULL,12,12,NULL,12,12,NULL,13,13,NULL,17,17,NULL
0.735958,NY,KINGS,"CONEY ISLAND AVE",0,SOUTHBOUND,120-18113,2019,01,Tuesday,20,20,NULL,18,18,NULL,22,22,NULL,14,14,19,15,15,NULL,16,16,NULL,15,16,22,13,13,7,13,13,11,12,12,11,12,12,13,12,12,15,12,12,9,13,12,7,12,12,6,13,13,6,12,12,NULL,12,12,10,12,11,12,15,15,NULL,13,13,NULL,15,15,NULL,13,13,NULL,18,18,NULL
0.624204,NY,KINGS,"CONEY ISLAND AVE",0,SOUTHBOUND,120-18110,2019,01,Tuesday,25,25,NULL,23,23,NULL,24,24,NULL,19,20,25,20,20,22,21,20,18,16,16,12,16,16,NULL,12,12,NULL,16,16,NULL,14,14,10,13,13,11,13,13,8,13,13,15,11,11,NULL,16,16,4,15,15,NULL,17,17,18,20,20,NULL,16,16,NULL,15,15,NULL,17,17,NULL,19,19,NULL,22,22,NULL
0.563596,NJ,BERGEN,NJ-17,17,SOUTHBOUND,120-06101,2019,01,Tuesday,49,49,48,43,43,44,48,48,50,52,50,45,51,48,46,48,48,46,48,48,39,41,41,38,42,42,37,41,41,38,43,42,35,41,41,40,38,38,33,41,40,34,41,40,30,36,37,35,39,38,32,41,40,35,35,35,33,45,44,34,45,45,39,44,43,45,46,45,41,50,50,41
0.380055,NJ,UNION,US-22,22,WESTBOUND,120-07433,2019,01,Tuesday,45,45,44,40,40,40,39,47,51,45,44,42,38,40,55,49,49,47,44,44,41,28,27,22,15,15,13,32,32,20,36,36,34,34,34,31,27,27,29,27,27,24,30,30,26,24,24,23,28,28,24,25,25,27,30,30,37,35,34,33,39,40,40,43,43,36,44,44,47,45,45,42
0.187611,NJ,MORRIS,I-80,80,WESTBOUND,120P04319,2019,01,Tuesday,67,60,58,64,63,60,64,63,61,63,62,59,64,62,61,62,61,59,63,62,60,65,63,60,66,65,61,64,63,60,64,63,60,64,62,59,64,62,60,64,63,59,65,63,57,59,57,53,47,46,44,44,43,39,55,53,49,63,61,55,64,63,60,65,63,59,65,64,59,66,62,60
0.756358,NJ,BERGEN,NJ-17,17,SOUTHBOUND,120-06102,2019,01,Tuesday,43,42,43,39,39,41,44,44,53,46,45,41,44,43,41,38,37,43,39,39,33,36,36,29,33,33,31,32,32,35,32,32,32,30,31,31,34,34,30,35,34,34,33,33,30,33,33,32,30,30,30,31,31,27,29,29,28,36,36,29,34,34,29,39,38,27,40,39,32,42,41,34
0.172225,NJ,UNION,US-22,22,WESTBOUND,120-07432,2019,01,Tuesday,44,43,36,40,41,45,45,42,39,44,44,37,40,40,55,48,49,50,43,43,43,31,31,28,24,24,21,30,30,28,36,36,35,32,32,32,29,29,27,27,27,24,30,30,23,28,28,22,26,26,23,25,25,24,30,30,NULL,32,32,33,38,38,36,42,41,36,43,43,50,47,44,11
1.53081,NJ,UNION,US-22,22,WESTBOUND,120-07431,2019,01,Tuesday,46,44,36,40,41,45,46,47,50,45,42,37,45,44,42,47,50,53,45,45,43,39,39,37,40,40,36,41,41,36,40,39,34,40,40,35,38,38,37,38,38,31,38,38,31,37,37,36,36,35,31,33,33,25,35,35,32,41,41,38,41,41,38,46,45,40,46,43,24,43,42,22
